Thumb,Index,Middle,Ring,Small,Command
470,684,732,594,415,C1
486,689,733,596,416,C1
491,689,733,596,416,C1
493,687,735,595,420,C1
494,683,736,595,421,C1
497,681,735,601,426,C1
496,683,732,599,421,C1
495,682,730,597,418,C1
496,678,727,597,418,C1
497,679,728,600,421,C1
496,685,735,600,418,C1
495,687,741,599,414,C1
497,687,743,599,412,C1
496,690,744,599,410,C1
495,690,742,599,410,C1
494,688,735,602,418,C1
498,688,732,602,418,C1
509,686,732,602,423,C1
526,684,732,602,422,C1
525,684,734,601,418,C1
512,685,735,601,416,C1
482,686,735,601,416,C1
450,682,733,602,417,C1
451,682,734,602,419,C1
468,681,737,602,421,C1
474,670,741,600,423,C1
478,681,739,598,416,C1
481,696,739,602,419,C1
486,704,752,632,424,C1
492,695,738,614,427,C1
495,681,734,596,424,C1
501,684,737,595,422,C1
501,692,744,603,424,C1
500,692,745,613,425,C1
499,687,734,604,426,C1
501,683,739,596,424,C1
504,683,741,595,425,C1
505,684,744,592,423,C1
504,686,741,592,419,C1
497,688,733,600,422,C1
494,685,725,605,423,C1
494,686,733,603,423,C1
497,685,737,596,424,C1
495,686,738,596,425,C1
492,689,740,599,423,C1
488,689,736,607,425,C1
510,686,733,605,425,C1
510,686,736,596,419,C1
492,685,739,594,421,C1
474,678,728,603,422,C1
480,681,738,596,426,C1
487,682,735,594,418,C1
494,674,721,601,423,C1
487,677,731,590,420,C1
493,674,717,607,421,C1
488,679,730,590,422,C1
495,675,718,604,418,C1
482,675,728,589,419,C1
484,670,719,603,412,C1
485,675,727,589,417,C1
487,669,718,603,412,C1
485,675,725,596,417,C1
488,673,722,605,416,C1
487,679,726,593,418,C1
486,675,724,601,415,C1
485,679,727,594,415,C1
478,679,729,591,413,C1
484,677,720,599,412,C1
482,674,727,600,413,C1
484,675,726,598,414,C1
483,668,726,602,413,C1
480,673,727,598,415,C1
478,669,724,605,414,C1
473,673,726,601,415,C1
467,669,724,605,415,C1
467,676,727,598,417,C1
466,669,723,605,415,C1
464,676,727,600,416,C1
460,669,723,605,414,C1
450,676,729,598,418,C1
435,676,732,593,415,C1
